,Question_id,Question_Reduced_Id,Gold_level
0,2001,1973,1
1,2002,1974,0
2,2003,1975,0
3,2004,1976,1
4,2005,1977,0
5,2006,1978,0
6,2007,1979,1
7,2008,1980,0
8,2009,1981,0
9,2010,1982,1
10,2011,1983,0
11,2012,1984,0
12,2013,1985,0
13,2014,1986,0
14,2015,1987,0
15,2016,1988,1
16,2017,1989,1
17,2018,1990,0
18,2019,1991,0
19,2020,1992,0
20,2021,1993,0
21,2022,1994,0
22,2023,1995,0
23,2024,1996,1
24,2025,1997,0
25,2026,1998,0
26,2027,1999,0
27,2028,2000,1
28,2029,2001,1
29,2030,2002,0
30,2031,2003,0
31,2032,2004,1
32,2033,2005,1
33,2034,2006,0
34,2035,2007,1
35,2036,2008,1
36,2037,2009,0
37,2038,2010,0
38,2039,2011,1
39,2040,2012,1
40,2041,2013,0
41,2042,2014,0
42,2043,2015,0
43,2044,2016,0
44,2045,2017,1
45,2046,2018,0
46,2047,2019,0
47,2048,2020,0
48,2049,2021,0
49,2050,2022,0
50,2051,2023,1
51,2052,2024,0
52,2053,2025,1
53,2054,2026,0
54,2055,2027,0
55,2056,2028,1
56,2057,2029,0
57,2058,2030,1
58,2059,2031,1
59,2060,2032,0
60,2061,2033,1
61,2062,2034,0
62,2063,2035,0
63,2064,2036,1
64,2065,2037,0
65,2066,2038,0
66,2067,2039,1
67,2068,2040,0
68,2069,2041,0
69,2070,2042,0
70,2071,2043,0
71,2072,2044,0
72,2073,2045,1
73,2074,2046,0
74,2075,2047,0
75,2076,2048,1
76,2077,2049,0
77,2078,2050,1
78,2079,2051,0
79,2080,2052,1
80,2081,2053,1
81,2082,2054,0
82,2083,2055,0
83,2084,2056,0
84,2085,2057,0
85,2086,2058,0
86,2087,2059,1
87,2088,2060,0
88,2089,2061,0
89,2090,2062,0
90,2091,2063,1
91,2092,2064,0
92,2093,2065,0
93,2094,2066,1
94,2095,2067,1
95,2096,2068,0
96,2097,2069,0
97,2099,2071,0
98,2100,2072,1
99,2101,2073,1
100,2102,2074,0
101,2103,2075,0
102,2104,2076,0
103,2105,2077,1
104,2106,2078,1
105,2107,2079,1
106,2108,2080,1
107,2109,2081,1
108,2110,2082,0
109,2111,2083,1
110,2112,2084,0
111,2113,2085,0
112,2114,2086,0
113,2115,2087,0
114,2116,2088,0
115,2117,2089,1
116,2118,2090,0
117,2119,2091,0
118,2120,2092,0
119,2121,2093,1
120,2122,2094,0
121,2123,2095,0
122,2124,2096,0
123,2125,2097,0
124,2126,2098,1
125,2127,2099,1
126,2128,2100,1
127,2129,2101,1
128,2130,2102,1
129,2131,2103,1
130,2132,2104,0
131,2133,2105,0
132,2134,2106,0
133,2135,2107,0
134,2136,2134,0
135,2137,2108,0
136,2138,2109,0
137,2139,2110,0
138,2140,2111,0
139,2141,2112,1
140,2142,2113,1
141,2143,2114,0
142,2144,2115,0
143,2145,2116,0
144,2147,2118,1
145,2148,2119,1
146,2149,2120,0
147,2150,2121,1
148,2151,2122,1
149,2152,2123,0
150,2153,2124,0
151,2154,2125,0
152,2155,2126,0
153,2156,2127,0
154,2157,2128,0
155,2158,2129,0
156,2159,2130,1
157,2160,2131,0
158,2161,2132,1
159,2162,2133,1
