,After Response of Annotator,1st_of_1st_line,2nd_of_1st_line,1st_of_2nd_line,2nd_of_2nd_line,1st_of_3rd_line,2nd_of_3rd_line
0,0,[22.64496919 88.37635788],[22.64602119 88.37642188],[22.6502146 88.3770222],[22.6509818 88.3768024],[22.64726633 88.37679333],[22.64874267 88.37639567]
1,1,[22.64496919 88.37635788],[22.64602119 88.37642188],[22.6502146 88.3770222],[22.6509818 88.3768024],[22.64726633 88.37679333],[22.64874267 88.37639567]
2,2,[22.64496919 88.37635788],[22.64602119 88.37642188],[22.6502146 88.3770222],[22.6509818 88.3768024],[22.64726633 88.37679333],[22.64874267 88.37639567]
3,3,[22.64496919 88.37635788],[22.64602119 88.37642188],[22.6502146 88.3770222],[22.6509818 88.3768024],[22.64726633 88.37679333],[22.64874267 88.37639567]
4,4,[22.64496919 88.37635788],[22.64602119 88.37642188],[22.6502146 88.3770222],[22.6509818 88.3768024],[22.64726633 88.37679333],[22.64874267 88.37639567]
5,5,[22.64496919 88.37635788],[22.64602119 88.37642188],[22.6502146 88.3770222],[22.6509818 88.3768024],[22.64726633 88.37679333],[22.64874267 88.37639567]
6,6,[22.64496919 88.37635788],[22.64602119 88.37642188],[22.6502146 88.3770222],[22.6509818 88.3768024],[22.64726633 88.37679333],[22.64874267 88.37639567]
7,7,[22.64496919 88.37635788],[22.64602119 88.37642188],[22.6502146 88.3770222],[22.6509818 88.3768024],[22.64726633 88.37679333],[22.64874267 88.37639567]
8,8,[22.64496919 88.37635788],[22.64602119 88.37642188],[22.6502146 88.3770222],[22.6509818 88.3768024],[22.64726633 88.37679333],[22.64874267 88.37639567]
9,9,[22.64496919 88.37635788],[22.64602119 88.37642188],[22.6502146 88.3770222],[22.6509818 88.3768024],[22.64726633 88.37679333],[22.64874267 88.37639567]
10,10,[22.64496919 88.37635788],[22.64602119 88.37642188],[22.6502146 88.3770222],[22.6509818 88.3768024],[22.64726633 88.37679333],[22.64874267 88.37639567]
11,11,[22.64496919 88.37635788],[22.64602119 88.37642188],[22.6502146 88.3770222],[22.6509818 88.3768024],[22.64726633 88.37679333],[22.64874267 88.37639567]
